                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2255,                 4.8981,                 2.1281,                 0.0033,                0.17213,                0.00213,                 0.0008,                 2.0685,                 4.9273,                 2.1204,                 0.0937,                 0.0007,                 0.0007
                      1,                 2.2292,                 4.3259,                 2.1572,                0.32891,                0.11475,                 0.1282,                0.05956,                 1.9091,                 3.7577,                  2.016,               0.086458,              0.0014576,              0.0014576
                      2,                 1.8896,                 3.2324,                 1.8804,                 0.5309,                0.41189,                0.42579,                0.23573,                 1.7422,                 2.6069,                 1.8721,                0.07917,              0.0021699,              0.0021699
                      3,                 1.7645,                 2.4819,                 1.7268,                0.58634,                0.48361,                0.52889,                0.30635,                 1.5833,                 2.0943,                 1.6298,               0.071837,              0.0028369,              0.0028369
                      4,                 1.6084,                 1.9353,                 1.5494,                0.62164,                0.67259,                0.67362,                0.41193,                 1.4681,                 1.6748,                 1.4808,               0.064459,              0.0034587,              0.0034587
                      5,                 1.5386,                 1.7336,                 1.5453,                0.58189,                0.67072,                0.68583,                0.43226,                 1.3366,                 1.6408,                 1.3767,               0.057035,              0.0040353,              0.0040353
                      6,                 1.5068,                 1.6193,                 1.4525,                0.76343,                0.65913,                0.80624,                0.49079,                 1.3726,                 1.5844,                 1.3683,               0.049567,              0.0045666,              0.0045666
                      7,                 1.4465,                 1.5205,                 1.4186,                0.85211,                0.76521,                0.82425,                0.52081,                 1.3143,                 1.3323,                 1.3696,               0.042053,              0.0050526,              0.0050526
                      8,                 1.4039,                 1.3482,                 1.3849,                0.68051,                0.79893,                0.75165,                0.48808,                 1.3092,                  1.395,                 1.3668,               0.034493,              0.0054934,              0.0054934
                      9,                 1.4362,                 1.4081,                 1.4411,                0.84137,                0.74024,                0.81908,                0.55686,                 1.2127,                 1.0335,                 1.2878,               0.026889,              0.0058889,              0.0058889
                     10,                 1.3597,                 1.2933,                 1.3054,                0.81701,                0.82665,                0.84381,                0.56516,                 1.1965,                 1.1386,                 1.2402,               0.019239,              0.0062391,              0.0062391
                     11,                 1.3416,                 1.3357,                 1.3277,                 0.6789,                0.72131,                0.72804,                0.50769,                 1.1929,                  1.001,                 1.2641,               0.011544,              0.0065441,              0.0065441
                     12,                 1.4116,                 1.2775,                 1.3418,                0.72719,                0.85246,                0.84402,                0.54712,                 1.3036,                 1.0636,                  1.308,              0.0066057,              0.0066057,              0.0066057
                     13,                 1.3757,                 1.2969,                 1.3331,                0.74661,                0.80328,                0.81274,                0.54287,                 1.2583,                 1.0737,                 1.3356,              0.0066057,              0.0066057,              0.0066057
                     14,                 1.3592,                 1.2093,                 1.3135,                0.75988,                0.79508,                0.81649,                0.47327,                 1.4443,                0.98055,                 1.4252,              0.0063229,              0.0063229,              0.0063229
                     15,                 1.3448,                 1.0842,                 1.3021,                0.84093,                0.83607,                0.86822,                0.55949,                 1.2436,                0.83484,                 1.2881,                0.00604,                0.00604,                0.00604
                     16,                 1.2957,                  1.054,                 1.2531,                0.83904,                0.85246,                0.85821,                0.56321,                 1.1917,                0.80334,                 1.2386,              0.0057571,              0.0057571,              0.0057571
                     17,                 1.3351,                 1.0696,                 1.3179,                0.83574,                0.83607,                0.84859,                0.58063,                 1.1308,                0.82917,                 1.1922,              0.0054743,              0.0054743,              0.0054743
                     18,                 1.2936,                0.99571,                 1.2882,                0.86907,                0.82787,                0.87465,                  0.559,                 1.1459,                0.75934,                 1.1834,              0.0051914,              0.0051914,              0.0051914
                     19,                 1.2409,                0.97668,                 1.2121,                0.86421,                0.82082,                0.85226,                0.55261,                 1.1381,                0.78041,                 1.1841,              0.0049086,              0.0049086,              0.0049086
                     20,                 1.2301,                0.97713,                 1.2223,                 0.8025,                0.85827,                0.85204,                0.54358,                 1.1546,                0.79782,                 1.1819,              0.0046257,              0.0046257,              0.0046257
                     21,                 1.2284,                 1.0042,                 1.2351,                0.81365,                0.86066,                0.84828,                0.55105,                 1.1938,                0.79164,                 1.2124,              0.0043429,              0.0043429,              0.0043429
                     22,                 1.2694,                0.95036,                 1.2336,                0.84014,                0.85803,                0.86646,                 0.5495,                  1.179,                0.79589,                 1.2112,                0.00406,                0.00406,                0.00406
                     23,                 1.3147,                0.98937,                 1.2864,                0.83448,                0.86923,                0.86694,                0.56372,                 1.1443,                0.82639,                 1.1964,              0.0037771,              0.0037771,              0.0037771
                     24,                 1.2307,                0.96062,                 1.2257,                0.84989,                0.86892,                0.88178,                0.58819,                 1.1475,                0.81171,                 1.1867,              0.0034943,              0.0034943,              0.0034943
                     25,                 1.2451,                0.96811,                 1.2462,                0.85808,                0.87705,                0.88416,                0.60917,                 1.1082,                0.78649,                 1.1654,              0.0032114,              0.0032114,              0.0032114
